Company,Type,OpSys,CPU,GPU,Ram,Weight,Touchscreen,ClockSpeed,HDD,SSD,PPI,Price
HP,Notebook,Windows,Intel,AMD,8,1.91,0,2.7,0.0,0.256,192.30769230769232,38308.32
HP,Notebook,Windows,AMD,AMD,4,2.1,0,1.5,0.5,0.0,192.30769230769232,18594.72
Dell,Notebook,Linux,Intel,AMD,8,2.2,0,1.6,1.0,0.0,192.30769230769232,34472.16
HP,Ultrabook,Windows,Intel,Nvidia,8,1.38,0,2.7,0.0,0.256,225.56390977443607,59620.32
others,Ultrabook,Windows,Intel,Intel,8,1.252,1,2.5,0.0,0.256,278.51851851851853,71395.2
HP,Notebook,Windows,Intel,Nvidia,6,1.58,0,2.5,0.0,0.256,214.28571428571428,35111.52
Lenovo,Notebook,Windows,Intel,Intel,4,1.85,0,2.0,1.0,0.0,192.30769230769232,22105.872
Asus,Ultrabook,Windows,Intel,Nvidia,8,1.3,0,2.7,0.0,0.256,214.28571428571428,63563.04
MSI,Gaming,Windows,Intel,Nvidia,16,2.2,0,2.8,1.0,0.256,192.30769230769232,69210.72
Lenovo,Notebook,Windows,Intel,Intel,8,1.58,0,2.7,0.0,0.256,214.28571428571428,78854.4
Asus,Ultrabook,Windows,Intel,Nvidia,16,1.5,0,1.8,1.0,0.256,192.30769230769232,67239.36
Dell,Ultrabook,Windows,Intel,Intel,8,1.23,1,2.4,0.0,0.256,375.9398496240601,73473.12
Lenovo,2 in 1 Convertible,Windows,Intel,Intel,8,1.37,1,2.5,0.0,0.256,225.56390977443607,74538.72
HP,Notebook,Windows,Intel,Intel,4,1.63,0,1.6,0.5,0.0,152.42857142857142,38468.16
Dell,Ultrabook,Windows,Intel,Intel,8,1.21,0,1.6,0.0,0.256,225.56390977443607,86793.12
HP,2 in 1 Convertible,Windows,Intel,Intel,8,1.26,1,1.6,0.0,0.256,225.56390977443607,74538.1872
HP,Notebook,Windows,Intel,Intel,8,1.63,0,1.8,0.0,0.512,214.28571428571428,57755.52
Dell,Notebook,Windows,Intel,Nvidia,8,2.16,0,1.8,1.0,0.256,192.30769230769232,60223.98239999999
Asus,Notebook,Windows,Intel,Nvidia,4,2.0,0,2.0,1.0,0.0,173.41040462427745,30049.92
Asus,Notebook,Windows,Intel,Nvidia,8,1.7,0,1.8,0.0,0.256,192.30769230769232,59567.04
Acer,Notebook,Windows,Intel,Intel,6,2.1,1,2.4,1.0,0.0,192.30769230769232,25521.12
MSI,Gaming,Windows,Intel,Nvidia,16,1.8,0,2.8,2.0,0.256,192.30769230769232,119427.12
Lenovo,Notebook,No,Intel,Nvidia,8,2.2,0,2.5,0.0,0.256,192.30769230769232,33513.119999999995
HP,Notebook,Windows,Intel,Nvidia,16,2.5,0,1.8,0.0,0.512,173.41040462427745,67718.88
